Image,Object ID,Area,Edges,Center_x,Center_y,Width,Height,lbp_mean,lbp_std,Prediction
2024_001_small_NEOS_SCI_2024001000312.png,49,3,0,355.3333333333333,103.33333333333333,2,2,4.75,3.766629793329841,Debris
2024_001_small_NEOS_SCI_2024001000312.png,50,5,2,224.2,105.6,3,2,4.5,2.9297326385411577,Debris
2024_001_small_NEOS_SCI_2024001000312.png,51,1,0,125.0,109.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,52,1,0,337.0,109.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,53,4,0,81.5,110.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,54,6,4,132.5,112.0,2,3,3.6666666666666665,0.9428090415820634,Debris
2024_001_small_NEOS_SCI_2024001000312.png,55,1,0,175.0,110.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,56,7,5,305.7142857142857,114.0,3,3,4.777777777777778,2.698879511442471,Debris
2024_001_small_NEOS_SCI_2024001000312.png,57,5,1,260.8,114.6,3,2,4.5,2.9297326385411577,Debris
2024_001_small_NEOS_SCI_2024001000312.png,58,1,0,219.0,116.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,59,2,0,350.0,117.5,1,2,1.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,60,6,4,152.5,119.0,2,3,3.6666666666666665,0.9428090415820634,Debris
2024_001_small_NEOS_SCI_2024001000312.png,61,13,7,358.38461538461536,120.38461538461539,4,4,5.25,2.165063509461097,Debris
2024_001_small_NEOS_SCI_2024001000312.png,62,1,0,344.0,124.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,63,2,0,190.5,127.0,2,1,1.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,64,1,0,215.0,126.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,65,1,0,330.0,127.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,66,1,0,294.0,128.0,1,1,0.0,0.0,Debris
